Index,X-coordinate,Y-coordinate,Intensity,Labels
1158,10,57,255,1
1159,10,58,255,1
1160,10,59,255,1
1273,11,62,255,1
1274,11,63,255,1
1275,11,64,255,1
1370,12,49,255,1
1388,12,67,255,1
1478,13,47,255,1
1499,13,68,255,1
1500,13,69,255,1
1612,14,71,255,1
1805,16,44,255,1
1810,16,49,255,1
1811,16,50,255,1
1812,16,51,255,1
1813,16,52,255,1
1814,16,53,255,1
1815,16,54,255,1
1816,16,55,255,1
1817,16,56,255,1
1818,16,57,255,1
1819,16,58,255,1
1820,16,59,255,1
1914,17,43,255,1
1920,17,49,255,1
1921,17,50,255,1
1922,17,51,255,1
1923,17,52,255,1
1924,17,53,255,1
1925,17,54,255,1
1926,17,55,255,1
1927,17,56,255,1
1928,17,57,255,1
1929,17,58,255,1
1930,17,59,255,1
1931,17,60,255,1
1932,17,61,255,1
1933,17,62,255,1
2023,18,42,255,1
2024,18,43,255,1
2029,18,48,255,1
2030,18,49,255,1
2031,18,50,255,1
2032,18,51,255,1
2033,18,52,255,1
2034,18,53,255,1
2035,18,54,255,1
2036,18,55,255,1
2037,18,56,255,1
2038,18,57,255,1
2039,18,58,255,1
2040,18,59,255,1
2041,18,60,255,1
2042,18,61,255,1
2043,18,62,255,1
2044,18,63,255,1
2045,18,64,255,1
2046,18,65,255,1
2047,18,66,255,1
2133,19,42,255,1
2138,19,47,255,1
2139,19,48,255,1
2140,19,49,255,1
2141,19,50,255,1
2142,19,51,255,1
2143,19,52,255,1
2144,19,53,255,1
2145,19,54,255,1
2146,19,55,255,1
2147,19,56,255,1
2148,19,57,255,1
2149,19,58,255,1
2150,19,59,255,1
2151,19,60,255,1
2152,19,61,255,1
2153,19,62,255,1
2154,19,63,255,1
2155,19,64,255,1
2156,19,65,255,1
2157,19,66,255,1
2158,19,67,255,1
2159,19,68,255,1
2242,20,41,255,1
2243,20,42,255,1
2247,20,46,255,1
2248,20,47,255,1
2249,20,48,255,1
2250,20,49,255,1
2251,20,50,255,1
2252,20,51,255,1
2253,20,52,255,1
2254,20,53,255,1
2255,20,54,255,1
2256,20,55,255,1
2257,20,56,255,1
2258,20,57,255,1
2259,20,58,255,1
2260,20,59,255,1
2261,20,60,255,1
2262,20,61,255,1
2263,20,62,255,1
2264,20,63,255,1
2265,20,64,255,1
2266,20,65,255,1
2267,20,66,255,1
2268,20,67,255,1
2269,20,68,255,1
2270,20,69,255,1
2271,20,70,255,1
2351,21,40,255,1
2352,21,41,255,1
2353,21,42,255,1
2357,21,46,255,1
2358,21,47,255,1
2359,21,48,255,1
2360,21,49,255,1
2361,21,50,255,1
2362,21,51,255,1
2363,21,52,255,1
2364,21,53,255,1
2365,21,54,255,1
2366,21,55,255,1
2367,21,56,255,1
2368,21,57,255,1
2369,21,58,255,1
2370,21,59,255,1
2371,21,60,255,1
2372,21,61,255,1
2373,21,62,255,1
2374,21,63,255,1
2375,21,64,255,1
2376,21,65,255,1
2377,21,66,255,1
2378,21,67,255,1
2379,21,68,255,1
2380,21,69,255,1
2381,21,70,255,1
2382,21,71,255,1
2461,22,40,255,1
2462,22,41,255,1
2463,22,42,255,1
2465,22,44,255,1
2466,22,45,255,1
2467,22,46,255,1
2468,22,47,255,1
2469,22,48,255,1
2470,22,49,255,1
2471,22,50,255,1
2472,22,51,255,1
2473,22,52,255,1
2474,22,53,255,1
2475,22,54,255,1
2476,22,55,255,1
2477,22,56,255,1
2478,22,57,255,1
2479,22,58,255,1
2480,22,59,255,1
2481,22,60,255,1
2482,22,61,255,1
2483,22,62,255,1
2484,22,63,255,1
2485,22,64,255,1
2486,22,65,255,1
2487,22,66,255,1
2493,22,72,255,1
2570,23,39,255,1
2571,23,40,255,1
2572,23,41,255,1
2573,23,42,255,1
2574,23,43,255,1
2575,23,44,255,1
2576,23,45,255,1
2577,23,46,255,1
2578,23,47,255,1
2579,23,48,255,1
2580,23,49,255,1
2583,23,52,255,1
2584,23,53,255,1
2585,23,54,255,1
2586,23,55,255,1
2587,23,56,255,1
2588,23,57,255,1
2589,23,58,255,1
2590,23,59,255,1
2591,23,60,255,1
2592,23,61,255,1
2603,23,72,255,1
2604,23,73,255,1
2610,23,79,255,3
2680,24,39,255,1
2681,24,40,255,1
2685,24,44,255,1
2686,24,45,255,1
2687,24,46,255,1
2688,24,47,255,1
2689,24,48,255,1
2696,24,55,255,1
2697,24,56,255,1
2698,24,57,255,1
2699,24,58,255,1
2700,24,59,255,1
2707,24,66,255,1
2713,24,72,255,1
2714,24,73,255,1
2715,24,74,255,1
2721,24,80,255,3
2789,25,38,255,1
2790,25,39,255,1
2791,25,40,255,1
2795,25,44,255,1
2796,25,45,255,1
2814,25,63,255,1
2815,25,64,255,1
2816,25,65,255,1
2817,25,66,255,1
2818,25,67,255,1
2822,25,71,255,1
2823,25,72,255,1
2824,25,73,255,1
2831,25,80,255,3
2898,26,37,255,1
2899,26,38,255,1
2900,26,39,255,1
2904,26,43,255,1
2905,26,44,255,1
2923,26,62,255,1
2924,26,63,255,1
2925,26,64,255,1
2926,26,65,255,1
2927,26,66,255,1
2928,26,67,255,1
2929,26,68,255,1
2930,26,69,255,1
2942,26,81,255,3
3007,27,36,255,1
3008,27,37,255,1
