Index,X-coordinate,Y-coordinate,Intensity
4533,20,112,255
4534,20,113,255
4535,20,114,255
4536,20,115,255
4537,20,116,255
4538,20,117,255
4539,20,118,255
4540,20,119,255
4541,20,120,255
4749,21,107,255
4752,21,110,255
4753,21,111,255
4754,21,112,255
4755,21,113,255
4756,21,114,255
4757,21,115,255
4758,21,116,255
4759,21,117,255
4760,21,118,255
4761,21,119,255
4762,21,120,255
4763,21,121,255
4764,21,122,255
4765,21,123,255
4766,21,124,255
4767,21,125,255
4966,22,103,255
4967,22,104,255
4968,22,105,255
4969,22,106,255
4970,22,107,255
4971,22,108,255
4972,22,109,255
4973,22,110,255
4974,22,111,255
4975,22,112,255
4978,22,115,255
4979,22,116,255
4980,22,117,255
4981,22,118,255
4982,22,119,255
4983,22,120,255
4984,22,121,255
4985,22,122,255
4986,22,123,255
4987,22,124,255
4988,22,125,255
4989,22,126,255
4990,22,127,255
4991,22,128,255
4992,22,129,255
4993,22,130,255
4994,22,131,255
5185,23,101,255
5186,23,102,255
5187,23,103,255
5188,23,104,255
5189,23,105,255
5190,23,106,255
5191,23,107,255
5192,23,108,255
5202,23,118,255
5203,23,119,255
5204,23,120,255
5205,23,121,255
5206,23,122,255
5207,23,123,255
5208,23,124,255
5209,23,125,255
5210,23,126,255
5211,23,127,255
5212,23,128,255
5213,23,129,255
5214,23,130,255
5215,23,131,255
5216,23,132,255
5217,23,133,255
5218,23,134,255
5403,24,98,255
5404,24,99,255
5405,24,100,255
5406,24,101,255
5407,24,102,255
5408,24,103,255
5431,24,126,255
5435,24,130,255
5436,24,131,255
5437,24,132,255
5438,24,133,255
5439,24,134,255
5440,24,135,255
5622,25,96,255
5623,25,97,255
5624,25,98,255
5625,25,99,255
5626,25,100,255
5627,25,101,255
5658,25,132,255
5659,25,133,255
5660,25,134,255
5661,25,135,255
5662,25,136,255
5663,25,137,255
5664,25,138,255
5841,26,94,255
5842,26,95,255
5843,26,96,255
5844,26,97,255
5845,26,98,255
5881,26,134,255
5882,26,135,255
5883,26,136,255
5884,26,137,255
5885,26,138,255
5886,26,139,255
5887,26,140,255
5888,26,141,255
6061,27,93,255
6062,27,94,255
6063,27,95,255
6064,27,96,255
6104,27,136,255
6105,27,137,255
6106,27,138,255
6107,27,139,255
6108,27,140,255
6109,27,141,255
6110,27,142,255
6111,27,143,255
6280,28,91,255
6281,28,92,255
6282,28,93,255
6283,28,94,255
6327,28,138,255
6328,28,139,255
6329,28,140,255
6330,28,141,255
6331,28,142,255
6332,28,143,255
6333,28,144,255
6500,29,90,255
6501,29,91,255
6502,29,92,255
6503,29,93,255
6550,29,140,255
6551,29,141,255
6552,29,142,255
6553,29,143,255
6554,29,144,255
6555,29,145,255
6720,30,89,255
6721,30,90,255
6722,30,91,255
6723,30,92,255
6773,30,142,255
6774,30,143,255
6775,30,144,255
6776,30,145,255
6777,30,146,255
6940,31,88,255
6941,31,89,255
6942,31,90,255
6943,31,91,255
6951,31,99,255
6952,31,100,255
6953,31,101,255
6954,31,102,255
6955,31,103,255
6956,31,104,255
6957,31,105,255
6958,31,106,255
6959,31,107,255
6960,31,108,255
6961,31,109,255
6962,31,110,255
6963,31,111,255
6964,31,112,255
6965,31,113,255
6966,31,114,255
6996,31,144,255
6997,31,145,255
6998,31,146,255
6999,31,147,255
7160,32,87,255
7161,32,88,255
7162,32,89,255
7163,32,90,255
7164,32,91,255
7171,32,98,255
7172,32,99,255
7173,32,100,255
7174,32,101,255
7175,32,102,255
7176,32,103,255
7177,32,104,255
7178,32,105,255
7179,32,106,255
7180,32,107,255
7181,32,108,255
7182,32,109,255
7183,32,110,255
7184,32,111,255
7185,32,112,255
7186,32,113,255
7187,32,114,255
7188,32,115,255
7189,32,116,255
7190,32,117,255
7191,32,118,255
7192,32,119,255
7193,32,120,255
7194,32,121,255
7195,32,122,255
7219,32,146,255
7220,32,147,255
7221,32,148,255
7380,33,86,255
7381,33,87,255
7382,33,88,255
7383,33,89,255
7384,33,90,255
7391,33,97,255
7392,33,98,255
7393,33,99,255
7394,33,100,255
7395,33,101,255
7396,33,102,255
7397,33,103,255
7398,33,104,255
7399,33,105,255
7400,33,106,255
7401,33,107,255
7402,33,108,255
7403,33,109,255
7404,33,110,255
7405,33,111,255
7406,33,112,255
7407,33,113,255
7408,33,114,255
7409,33,115,255
7410,33,116,255
7411,33,117,255
7412,33,118,255
