// dataSetFormat = MatrixDataSetFormat
// dataSetType = SyntheticDataSetType
// dataSetFormatVersion = 1
// alias = synthetic_dendrites
// 
1	66	80
2	25	90
3	222.64	135.64
4	39	120
5	38	70
6	10	50
7	45	115
8	33	95
9	13	65
10	14	80
11	120	101
12	99	101.61
13	55	85
14	188.64	154.64
15	208.64	148.64
16	120.64	162.64
17	122.64	31.639
18	122.64	206.64
19	150	110
20	132.49	224.63
21	137.64	191.64
22	137.64	243.64
23	138.64	171.64
24	144.64	68.639
25	144.64	209.64
26	150.64	227.64
27	156.64	162.64
28	157.64	85.639
29	167.64	104.64
30	168.64	124.64
31	169.64	144.64
32	177.64	86.639
33	80	110
34	125	240
35	120	220
36	30	80
37	30	60
38	135	108
39	60	130






