Index,X-coordinate,Y-coordinate,Intensity,Labels
2374,13,85,6,1
2375,13,86,10,1
2376,13,87,16,1
2378,13,89,53,1
2379,13,90,10,1
2380,13,91,45,1
2381,13,92,102,1
2382,13,93,102,1
2383,13,94,102,1
2384,13,95,102,1
2385,13,96,102,1
2386,13,97,114,1
2387,13,98,102,1
2388,13,99,22,1
2389,13,100,12,1
2390,13,101,6,1
2547,14,82,66,1
2548,14,83,15,1
2549,14,84,100,1
2550,14,85,96,1
2551,14,86,91,1
2552,14,87,85,1
2554,14,89,68,1
2555,14,90,52,1
2556,14,91,16,1
2557,14,92,42,1
2558,14,93,12,1
2559,14,94,16,1
2560,14,95,39,1
2561,14,96,27,1
2562,14,97,68,1
2564,14,99,44,1
2565,14,100,165,1
2566,14,101,136,1
2567,14,102,79,1
2568,14,103,81,1
2569,14,104,49,1
2720,15,79,14,1
2721,15,80,48,1
2722,15,81,45,1
2723,15,82,76,1
2724,15,83,7,1
2725,15,84,70,1
2726,15,85,26,1
2727,15,86,81,1
2728,15,87,48,1
2729,15,88,88,1
2731,15,90,124,1
2732,15,91,38,1
2733,15,92,28,1
2734,15,93,135,1
2735,15,94,15,1
2736,15,95,34,1
2737,15,96,78,1
2738,15,97,23,1
2740,15,99,81,1
2741,15,100,12,1
2742,15,101,3,1
2743,15,102,9,1
2744,15,103,33,1
2745,15,104,93,1
2746,15,105,102,1
2747,15,106,102,1
2748,15,107,109,1
2749,15,108,6,1
2894,16,77,25,1
2895,16,78,112,1
2896,16,79,63,1
2897,16,80,36,1
2898,16,81,31,1
2899,16,82,20,1
2900,16,83,23,1
2901,16,84,62,1
2902,16,85,61,1
2903,16,86,56,1
2904,16,87,61,1
2905,16,88,124,1
2906,16,89,131,1
2907,16,90,132,1
2908,16,91,170,1
2909,16,92,166,1
2910,16,93,205,1
2911,16,94,177,1
2912,16,95,210,1
2913,16,96,172,1
2914,16,97,141,1
2915,16,98,46,1
2916,16,99,67,1
2917,16,100,55,1
2918,16,101,18,1
2919,16,102,53,1
2920,16,103,37,1
2924,16,107,74,1
2925,16,108,55,1
2926,16,109,86,1
2927,16,110,21,1
3067,17,74,3,1
3068,17,75,56,1
3069,17,76,47,1
3070,17,77,27,1
3071,17,78,55,1
3073,17,80,49,1
3074,17,81,75,1
3075,17,82,171,1
3076,17,83,100,1
3077,17,84,127,1
3078,17,85,238,1
3079,17,86,201,1
3080,17,87,33,1
3081,17,88,153,1
3082,17,89,153,1
3083,17,90,69,1
3084,17,91,175,1
3085,17,92,234,1
3086,17,93,233,1
3087,17,94,199,1
3088,17,95,205,1
3089,17,96,118,1
3090,17,97,116,1
3091,17,98,244,1
3092,17,99,253,1
3093,17,100,216,1
3094,17,101,56,1
3095,17,102,198,1
3096,17,103,142,1
3097,17,104,47,1
3098,17,105,83,1
3100,17,107,108,1
3101,17,108,62,1
3102,17,109,16,1
3103,17,110,40,1
3104,17,111,131,1
3105,17,112,8,1
3242,18,73,24,1
3243,18,74,16,1
3244,18,75,81,1
3245,18,76,4,1
3246,18,77,101,1
3247,18,78,44,1
3248,18,79,109,1
3249,18,80,189,1
3250,18,81,73,1
3251,18,82,186,1
3252,18,83,119,1
3253,18,84,92,1
3254,18,85,210,1
3255,18,86,119,1
3256,18,87,162,1
3257,18,88,182,1
3258,18,89,141,1
3259,18,90,104,1
3260,18,91,42,1
3261,18,92,39,1
3262,18,93,141,1
3263,18,94,96,1
3264,18,95,90,1
3265,18,96,107,1
3266,18,97,126,1
3267,18,98,182,1
3268,18,99,182,1
3269,18,100,150,1
3270,18,101,182,1
3271,18,102,202,1
3272,18,103,210,1
3273,18,104,135,1
3274,18,105,175,1
3275,18,106,174,1
3276,18,107,110,1
3277,18,108,30,1
3278,18,109,51,1
3280,18,111,29,1
3281,18,112,104,1
3282,18,113,90,1
3418,19,73,19,1
3419,19,74,16,1
3420,19,75,67,1
3421,19,76,28,1
3422,19,77,152,1
3423,19,78,110,1
3424,19,79,52,1
3425,19,80,203,1
3426,19,81,232,1
3427,19,82,133,1
3428,19,83,148,1
3429,19,84,111,1
3430,19,85,18,1
3431,19,86,11,1
3434,19,89,81,1
3436,19,91,42,1
3437,19,92,102,1
3438,19,93,82,1
3439,19,94,78,1
3440,19,95,113,1
3441,19,96,123,1
3442,19,97,147,1
3443,19,98,137,1
3444,19,99,103,1
