Index,X-coordinate,Y-coordinate,Intensity
2374,13,85,6
2375,13,86,10
2376,13,87,16
2378,13,89,53
2379,13,90,10
2380,13,91,45
2381,13,92,102
2382,13,93,102
2383,13,94,102
2384,13,95,102
2385,13,96,102
2386,13,97,114
2387,13,98,102
2388,13,99,22
2389,13,100,12
2390,13,101,6
2547,14,82,66
2548,14,83,15
2549,14,84,100
2550,14,85,96
2551,14,86,91
2552,14,87,85
2554,14,89,68
2555,14,90,52
2556,14,91,16
2557,14,92,42
2558,14,93,12
2559,14,94,16
2560,14,95,39
2561,14,96,27
2562,14,97,68
2564,14,99,44
2565,14,100,165
2566,14,101,136
2567,14,102,79
2568,14,103,81
2569,14,104,49
2720,15,79,14
2721,15,80,48
2722,15,81,45
2723,15,82,76
2724,15,83,7
2725,15,84,70
2726,15,85,26
2727,15,86,81
2728,15,87,48
2729,15,88,88
2731,15,90,124
2732,15,91,38
2733,15,92,28
2734,15,93,135
2735,15,94,15
2736,15,95,34
2737,15,96,78
2738,15,97,23
2740,15,99,81
2741,15,100,12
2742,15,101,3
2743,15,102,9
2744,15,103,33
2745,15,104,93
2746,15,105,102
2747,15,106,102
2748,15,107,109
2749,15,108,6
2894,16,77,25
2895,16,78,112
2896,16,79,63
2897,16,80,36
2898,16,81,31
2899,16,82,20
2900,16,83,23
2901,16,84,62
2902,16,85,61
2903,16,86,56
2904,16,87,61
2905,16,88,124
2906,16,89,131
2907,16,90,132
2908,16,91,170
2909,16,92,166
2910,16,93,205
2911,16,94,177
2912,16,95,210
2913,16,96,172
2914,16,97,141
2915,16,98,46
2916,16,99,67
2917,16,100,55
2918,16,101,18
2919,16,102,53
2920,16,103,37
2924,16,107,74
2925,16,108,55
2926,16,109,86
2927,16,110,21
3067,17,74,3
3068,17,75,56
3069,17,76,47
3070,17,77,27
3071,17,78,55
3073,17,80,49
3074,17,81,75
3075,17,82,171
3076,17,83,100
3077,17,84,127
3078,17,85,238
3079,17,86,201
3080,17,87,33
3081,17,88,153
3082,17,89,153
3083,17,90,69
3084,17,91,175
3085,17,92,234
3086,17,93,233
3087,17,94,199
3088,17,95,205
3089,17,96,118
3090,17,97,116
3091,17,98,244
3092,17,99,253
3093,17,100,216
3094,17,101,56
3095,17,102,198
3096,17,103,142
3097,17,104,47
3098,17,105,83
3100,17,107,108
3101,17,108,62
3102,17,109,16
3103,17,110,40
3104,17,111,131
3105,17,112,8
3242,18,73,24
3243,18,74,16
3244,18,75,81
3245,18,76,4
