Index,X-coordinate,Y-coordinate,Intensity
2236,14,79,255
2237,14,80,255
2238,14,81,255
2239,14,82,255
2240,14,83,255
2385,15,74,255
2386,15,75,255
2387,15,76,255
2388,15,77,255
2389,15,78,255
2392,15,81,255
2393,15,82,255
2394,15,83,255
2395,15,84,255
2396,15,85,255
2397,15,86,255
2398,15,87,255
2399,15,88,255
2400,15,89,255
2536,16,71,255
2537,16,72,255
2552,16,87,255
2553,16,88,255
2554,16,89,255
2555,16,90,255
2556,16,91,255
2557,16,92,255
2688,17,69,255
2689,17,70,255
2711,17,92,255
2712,17,93,255
2713,17,94,255
2839,18,66,255
2840,18,67,255
2868,18,95,255
2869,18,96,255
2992,19,65,255
3023,19,96,255
3024,19,97,255
3025,19,98,255
3026,19,99,255
3145,20,64,255
3179,20,98,255
3180,20,99,255
3181,20,100,255
3298,21,63,255
3336,21,101,255
3450,22,61,255
3451,22,62,255
3452,22,63,255
3458,22,69,255
3459,22,70,255
3460,22,71,255
3461,22,72,255
3462,22,73,255
3463,22,74,255
3464,22,75,255
3465,22,76,255
3466,22,77,255
3467,22,78,255
3468,22,79,255
3469,22,80,255
3470,22,81,255
3471,22,82,255
3472,22,83,255
3473,22,84,255
3491,22,102,255
3603,23,60,255
3604,23,61,255
3605,23,62,255
3611,23,68,255
3612,23,69,255
3613,23,70,255
3614,23,71,255
3615,23,72,255
3616,23,73,255
3617,23,74,255
3618,23,75,255
3619,23,76,255
3620,23,77,255
3621,23,78,255
3622,23,79,255
3623,23,80,255
3624,23,81,255
3625,23,82,255
3626,23,83,255
3627,23,84,255
3628,23,85,255
3629,23,86,255
3630,23,87,255
3646,23,103,255
3757,24,60,255
3758,24,61,255
3759,24,62,255
3765,24,68,255
3766,24,69,255
3767,24,70,255
3768,24,71,255
3769,24,72,255
3770,24,73,255
3771,24,74,255
3772,24,75,255
3773,24,76,255
3774,24,77,255
3775,24,78,255
3776,24,79,255
3777,24,80,255
3778,24,81,255
3779,24,82,255
3780,24,83,255
3781,24,84,255
3782,24,85,255
3783,24,86,255
3784,24,87,255
3785,24,88,255
3801,24,104,255
3910,25,59,255
3911,25,60,255
3912,25,61,255
3919,25,68,255
3920,25,69,255
3921,25,70,255
3922,25,71,255
3923,25,72,255
3924,25,73,255
3925,25,74,255
3926,25,75,255
3927,25,76,255
3928,25,77,255
3929,25,78,255
3930,25,79,255
3931,25,80,255
3932,25,81,255
3933,25,82,255
3934,25,83,255
3935,25,84,255
3936,25,85,255
3937,25,86,255
3938,25,87,255
3939,25,88,255
3940,25,89,255
3941,25,90,255
3942,25,91,255
3943,25,92,255
4063,26,58,255
4064,26,59,255
4065,26,60,255
4066,26,61,255
4071,26,66,255
4072,26,67,255
4073,26,68,255
4074,26,69,255
4075,26,70,255
4076,26,71,255
4077,26,72,255
4078,26,73,255
4079,26,74,255
4080,26,75,255
4081,26,76,255
4082,26,77,255
4083,26,78,255
4084,26,79,255
4085,26,80,255
4086,26,81,255
4087,26,82,255
4088,26,83,255
4089,26,84,255
4090,26,85,255
4091,26,86,255
4092,26,87,255
4093,26,88,255
4094,26,89,255
4095,26,90,255
4096,26,91,255
4097,26,92,255
4098,26,93,255
4099,26,94,255
4100,26,95,255
4217,27,58,255
4218,27,59,255
4224,27,65,255
4225,27,66,255
4226,27,67,255
4227,27,68,255
4228,27,69,255
4229,27,70,255
4230,27,71,255
4231,27,72,255
4232,27,73,255
4233,27,74,255
4234,27,75,255
4235,27,76,255
4236,27,77,255
4237,27,78,255
4238,27,79,255
4239,27,80,255
4240,27,81,255
4241,27,82,255
4242,27,83,255
4243,27,84,255
4244,27,85,255
4245,27,86,255
4246,27,87,255
4247,27,88,255
4248,27,89,255
4249,27,90,255
4250,27,91,255
4251,27,92,255
4252,27,93,255
4253,27,94,255
4254,27,95,255
4255,27,96,255
4256,27,97,255
4266,27,107,255
4370,28,57,255
4371,28,58,255
4372,28,59,255
4377,28,64,255
4378,28,65,255
4379,28,66,255
4380,28,67,255
4381,28,68,255
4382,28,69,255
4383,28,70,255
4384,28,71,255
4385,28,72,255
4386,28,73,255
4387,28,74,255
4388,28,75,255
4389,28,76,255
4390,28,77,255
4391,28,78,255
4392,28,79,255
4393,28,80,255
4394,28,81,255
4395,28,82,255
4396,28,83,255
4397,28,84,255
4398,28,85,255
4399,28,86,255
4400,28,87,255
4401,28,88,255
4402,28,89,255
4403,28,90,255
4404,28,91,255
