Index,X-coordinate,Y-coordinate,Intensity,Labels
2236,14,79,255,1
2237,14,80,255,1
2238,14,81,255,1
2239,14,82,255,1
2240,14,83,255,1
2385,15,74,255,1
2386,15,75,255,1
2387,15,76,255,1
2388,15,77,255,1
2389,15,78,255,1
2392,15,81,255,1
2393,15,82,255,1
2394,15,83,255,1
2395,15,84,255,1
2396,15,85,255,1
2397,15,86,255,1
2398,15,87,255,1
2399,15,88,255,1
2400,15,89,255,1
2536,16,71,255,1
2537,16,72,255,1
2552,16,87,255,1
2553,16,88,255,1
2554,16,89,255,1
2555,16,90,255,1
2556,16,91,255,1
2557,16,92,255,1
2688,17,69,255,1
2689,17,70,255,1
2711,17,92,255,1
2712,17,93,255,1
2713,17,94,255,1
2839,18,66,255,1
2840,18,67,255,1
2868,18,95,255,1
2869,18,96,255,1
2992,19,65,255,1
3023,19,96,255,1
3024,19,97,255,1
3025,19,98,255,1
3026,19,99,255,1
3145,20,64,255,1
3179,20,98,255,1
3180,20,99,255,1
3181,20,100,255,1
3298,21,63,255,1
3336,21,101,255,1
3450,22,61,255,1
3451,22,62,255,1
3452,22,63,255,1
3458,22,69,255,1
3459,22,70,255,1
3460,22,71,255,1
3461,22,72,255,1
3462,22,73,255,1
3463,22,74,255,1
3464,22,75,255,1
3465,22,76,255,1
3466,22,77,255,1
3467,22,78,255,1
3468,22,79,255,1
3469,22,80,255,1
3470,22,81,255,1
3471,22,82,255,1
3472,22,83,255,1
3473,22,84,255,1
3491,22,102,255,1
3603,23,60,255,1
3604,23,61,255,1
3605,23,62,255,1
3611,23,68,255,1
3612,23,69,255,1
3613,23,70,255,1
3614,23,71,255,1
3615,23,72,255,1
3616,23,73,255,1
3617,23,74,255,1
3618,23,75,255,1
3619,23,76,255,1
3620,23,77,255,1
3621,23,78,255,1
3622,23,79,255,1
3623,23,80,255,1
3624,23,81,255,1
3625,23,82,255,1
3626,23,83,255,1
3627,23,84,255,1
3628,23,85,255,1
3629,23,86,255,1
3630,23,87,255,1
3646,23,103,255,1
3757,24,60,255,1
3758,24,61,255,1
3759,24,62,255,1
3765,24,68,255,1
3766,24,69,255,1
3767,24,70,255,1
3768,24,71,255,1
3769,24,72,255,1
3770,24,73,255,1
3771,24,74,255,1
3772,24,75,255,1
3773,24,76,255,1
3774,24,77,255,1
3775,24,78,255,1
3776,24,79,255,1
3777,24,80,255,1
3778,24,81,255,1
3779,24,82,255,1
3780,24,83,255,1
3781,24,84,255,1
3782,24,85,255,1
3783,24,86,255,1
3784,24,87,255,1
